Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
DIPK1B,-0.411547263678365,0.499462926981737,0.666503087826621,8.565207,8.976754,1,1
STRA6,-0.440820655695461,0.499606223386742,0.666638999249407,10.622957,11.063777,1,1
CYB561D1,0.447187533626307,0.499930828307972,0.66701679323977,11.632737,11.185549,1,1
CENPS,-0.447741552241267,0.500021404491864,0.667082305063632,9.568417,10.016159,1,1
PGM2,-0.54300335565687,0.5000752329867,0.667098784719091,13.13582,13.678823,1,1
TBC1D19,-0.424151456545269,0.500208264232166,0.667173069617524,9.896414,10.320565,1,1
OR4D2,0.417820641080194,0.500213880037162,0.667173069617524,10.908566,10.490746,1,1
TMEM244,0.401548800551875,0.500438017605205,0.667360809934856,9.795391,9.393843,1,1
INTS8,-0.489081244276028,0.500476084346323,0.667360809934856,11.914047,12.403128,1,1
PASK,0.515480378489469,0.500479115234658,0.667360809934856,13.443989,12.928508,1,1
PTGR2,0.451237979453873,0.500797160913027,0.667729547884036,11.414671,10.963433,1,1
ASCC2,0.473658521712082,0.501064814394295,0.668002433558927,11.634406,11.160747,1,1
LPCAT2,-0.613197260174745,0.50108488938625,0.668002433558927,14.427639,15.040836,1,1
BCO2,0.45861062979457,0.501194005752587,0.668092523497813,10.609479,10.150868,1,1
LRRC3B,0.3941329259205,0.501346329645477,0.66824018944376,10.158261,9.764128,1,1
NPC2,-1.60014811429111,0.50150641199588,0.668398171241443,41.522447,43.122595,1,1
CD2,0.409200489349006,0.501725848260836,0.668621741507756,10.317451,9.908251,1,1
TRAF3,-0.509318048131759,0.501757300422694,0.668621741507756,10.628721,11.138039,1,1
TUBG1,0.498781546240759,0.501835369704141,0.668670374146417,11.531955,11.033173,1,1
SLFN5,0.524735540452626,0.50194942195607,0.668766940253598,14.925205,14.40047,1,1
RGS21,0.389191172382702,0.502085903325765,0.668893371083542,9.232821,8.84363,1,1
NCBP3,-0.392481550896839,0.502328163962983,0.669160691500797,9.980643,10.373125,1,1
CBLN1,-0.48928995892771,0.502601581503656,0.669469468894808,9.760018,10.249308,1,1
TSLP,-0.353188669053678,0.502722304339533,0.669562107700513,8.684731,9.03792,1,1
KRT79,0.460498706258912,0.502754387882311,0.669562107700513,10.175339,9.714841,1,1
NHSL1,0.54453953356626,0.502810551348142,0.669581462815327,15.302683,14.758143,1,1
CDC26,-0.652919849104006,0.502884640719256,0.669624684272582,17.082049,17.734969,1,1
TMEM135,-0.458547240039834,0.503113899163301,0.66987449951511,12.821831,13.280379,1,1
CLC,0.380264867005751,0.503310707531027,0.670004410107699,8.657073,8.276808,1,1
ERCC1,-0.570832139657867,0.50339480078618,0.670004410107699,14.528868,15.0997,1,1
BATF2,0.389115627451893,0.503399623591629,0.670004410107699,9.569825,9.18071,1,1
FBXO11,-0.461937605775628,0.503422743131213,0.670004410107699,13.771254,14.233191,1,1
CPLANE1,0.556537068767467,0.50344710037107,0.670004410107699,16.268293,15.711756,1,1
GSPT2,-0.449460693703584,0.503461408888439,0.670004410107699,9.074422,9.523883,1,1
SLC39A6,-1.23141908542419,0.503557201137045,0.670011261390722,22.387101,23.61852,1,1
ZBTB26,-0.437374069405154,0.503583229570902,0.670011261390722,11.397566,11.83494,1,1
SPTLC3,-0.43530814588328,0.503591528161679,0.670011261390722,8.347786,8.783094,1,1
C3orf33,-0.377843819139324,0.503869527723732,0.670287816153615,8.598537,8.976381,1,1
SMG5,-0.6153605006646,0.503920356652524,0.670287816153615,16.667202,17.282563,1,1
