,interaction,partner_A_genes,partner_B_genes,celltype_A,celltype_B,is_partner_A_DE,logFC_gene_A,adj_pval_gene_A,percent_expr_gene_A,is_partner_B_DE,logFC_gene_B,adj_pval_gene_B,percent_expr_gene_B
201,CD94:NKG2A_HLA-E,"['KLRC1', 'KLRD1']",HLA-E,CD8 T cell,Proximal_tubular_cells,False,NA,NA,"[0.15483870967741936, 0.3290322580645161]",True,-56.6277070258774,0.000458079848881171,1
1416,HLA-E_KLRC2,HLA-E,KLRC2,Loop_of_Henle,CD8 T cell,True,-56.6277070258774,0.000458079848881171,1,False,NA,NA,0.10967741935483873
27,COL4A3_a1b1 complex,COL4A3,"['ITGA1', 'ITGB1']",Loop_of_Henle,Mesangial_cells,True,-11.1362155380015,0.0132613800893692,1,False,NA,NA,"[0.3898305084745763, 0.7288135593220338]"
561,NRP1_VEGFA,NRP1,VEGFA,Distal_tubules_and_collecting_duct,Proximal_tubular_cells,True,-6.5367172113572805,0.00477973732505578,1,True,-161.272711131136,1.85543111015361e-13,1
1265,VEGFA_KDR,VEGFA,KDR,Podocytes,Endothelium,True,-161.272711131136,1.85543111015361e-13,1,False,NA,NA,0.4316770186335404
1002,SIRPA_CD47,SIRPA,CD47,Podocytes,Private,True,-5.34035938616956,0.0190914441331754,1,True,-5.21611639328334,0.00179869684824925,1
1050,TNFRSF11B_TNFSF10,TNFRSF11B,TNFSF10,Loop_of_Henle,Proximal_tubular_cells,False,NA,NA,0.1054739652870494,True,-4.8368024444167315,0.00154622415495639,1
1139,DLL1_NOTCH2,DLL1,NOTCH2,Distal_tubules_and_collecting_duct,Podocytes,False,NA,NA,0.22297297297297294,True,-5.185172494183711,0.0035674841016713897,1
591,NRP1_VEGFB,NRP1,VEGFB,Endothelium,Distal_tubules_and_collecting_duct,True,-6.5367172113572805,0.00477973732505578,1,False,NA,NA,0.3040540540540541
834,FcRn complex_ALB,"['B2M', 'FCGRT']",ALB,Proximal_tubular_cells,Mesangial_cells,False,NA,NA,"[0.9606625258799172, 0.6252587991718427]",True,-3.15170077783893,0.00163958384977319,1
1234,PLXNB2_SEMA4D,PLXNB2,SEMA4D,Podocytes,Private,True,-4.08481368770848,0.0272985694750045,1,True,-2.2159663770794,0.00815986438104258,1
24,COL4A3_a1b1 complex,COL4A3,"['ITGA1', 'ITGB1']",Loop_of_Henle,CD8 T cell,True,-11.1362155380015,0.0132613800893692,1,False,NA,NA,"[0.4645161290322581, 0.41935483870967744]"
1491,HLA-E_KLRK1,HLA-E,KLRK1,NKT cell,NKT cell,True,-56.6277070258774,0.000458079848881171,1,False,NA,NA,0.13190954773869346
88,FN1_aVb1 complex,FN1,"['ITGAV', 'ITGB1']",Distal_tubules_and_collecting_duct,Proximal_tubular_cells,False,NA,NA,0.12612612612612611,True,"[-33.6239706675212, -39.6176785934195]","[2.24673420633275e-09, 1.42091864873846e-09]","[1, 1]"
102,FN1_aVb5 complex,FN1,"['ITGAV', 'ITGB5']",Mesangial_cells,Podocytes,False,NA,NA,0.3305084745762712,True,"[-33.6239706675212, -12.612690186001696]","[2.24673420633275e-09, 9.67900355473881e-08]","[1, 1]"
535,CD74_APP,CD74,APP,DC,DC,True,-52.10705083307611,0.014348996468868,1,False,NA,NA,0.9565217391304348
2,COL4A3_a10b1 complex,COL4A3,"['ITGA10', 'ITGB1']",Distal_tubules_and_collecting_duct,Mesangial_cells,True,-11.1362155380015,0.0132613800893692,1,False,NA,NA,"[0.1694915254237288, 0.7288135593220338]"
1223,PLXNB2_SEMA4D,PLXNB2,SEMA4D,Mesangial_cells,MNP,True,-4.08481368770848,0.0272985694750045,1,True,-2.2159663770794,0.00815986438104258,1
147,TGFB1_TGFBR3,TGFB1,TGFBR3,Mast cell,Podocytes,False,NA,NA,0.2307692307692308,True,-18.1543589009868,0.0108459579092956,1
905,PLXNB2_SEMA4C,PLXNB2,SEMA4C,Proximal_tubular_cells,Endothelium,True,-4.08481368770848,0.0272985694750045,1,False,NA,NA,0.10869565217391304
71,THBS1_a3b1 complex,THBS1,"['ITGA3', 'ITGB1']",Proximal_tubular_cells,Mesangial_cells,False,NA,NA,0.2111801242236025,True,"[-38.026134707711, -39.6176785934195]","[7.36142244746803e-08, 1.42091864873846e-09]","[1, 1]"
1018,TNFRSF11B_TNFSF10,TNFRSF11B,TNFSF10,DC,Podocytes,False,NA,NA,0.3043478260869565,True,-4.8368024444167315,0.00154622415495639,1
278,CD94:NKG2C_HLA-E,"['KLRD1', 'KLRC2']",HLA-E,NK cell,Mast cell,False,NA,NA,"[0.96870925684485, 0.1029986962190352]",True,-56.6277070258774,0.000458079848881171,1
288,CD94:NKG2C_HLA-E,"['KLRD1', 'KLRC2']",HLA-E,NK cell,NK cell,False,NA,NA,"[0.96870925684485, 0.1029986962190352]",True,-56.6277070258774,0.000458079848881171,1
578,NRP2_VEGFA,NRP2,VEGFA,Distal_tubules_and_collecting_duct,MNP,False,NA,NA,0.10135135135135136,True,-161.272711131136,1.85543111015361e-13,1
676,FcRn complex_ALB,"['B2M', 'FCGRT']",ALB,Loop_of_Henle,CD8 T cell,False,NA,NA,"[0.7917222963951935, 0.2650200267022697]",True,-3.15170077783893,0.00163958384977319,1
772,FcRn complex_ALB,"['B2M', 'FCGRT']",ALB,Nephron_epithelium,Mast cell,False,NA,NA,"[0.726913730255164, 0.17496962332928312]",True,-3.15170077783893,0.00163958384977319,1
347,CD74_APP,CD74,APP,Distal_tubules_and_collecting_duct,Proximal_tubular_cells,True,-52.10705083307611,0.014348996468868,1,False,NA,NA,0.43685300207039335
1452,HLA-E_KLRK1,HLA-E,KLRK1,Endothelium,CD8 T cell,True,-56.6277070258774,0.000458079848881171,1,False,NA,NA,0.14838709677419354
1105,TNFRSF10B_TNFSF10,TNFRSF10B,TNFSF10,MNP,Distal_tubules_and_collecting_duct,False,NA,NA,0.11648351648351647,True,-4.8368024444167315,0.00154622415495639,1
585,NRP1_PGF,NRP1,PGF,Endothelium,Mesangial_cells,True,-6.5367172113572805,0.00477973732505578,1,False,NA,NA,0.3644067796610169
13,COL4A5_a1b1 complex,COL4A5,"['ITGA1', 'ITGB1']",Distal_tubules_and_collecting_duct,Proximal_tubular_cells,True,-4.64555523715494,0.0063016608218016,1,False,NA,NA,"[0.11180124223602483, 0.2712215320910973]"
804,FcRn complex_ALB,"['B2M', 'FCGRT']",ALB,Podocytes,Mesangial_cells,False,NA,NA,"[0.9845559845559846, 0.5444015444015444]",True,-3.15170077783893,0.00163958384977319,1
256,CD94:NKG2C_HLA-E,"['KLRD1', 'KLRC2']",HLA-E,CD8 T cell,DC,False,NA,NA,"[0.3290322580645161, 0.10967741935483873]",True,-56.6277070258774,0.000458079848881171,1
1160,JAG1_NOTCH2,JAG1,NOTCH2,Mesangial_cells,MNP,False,NA,NA,0.4915254237288136,True,-5.185172494183711,0.0035674841016713897,1
