,interaction,partner_A_genes,partner_B_genes,celltype_A,celltype_B,is_partner_A_DE,logFC_gene_A,adj_pval_gene_A,percent_expr_gene_A,is_partner_B_DE,logFC_gene_B,adj_pval_gene_B,percent_expr_gene_B
285,ICAM1_ITGAL,ICAM1,ITGAL,DC,B cell,False,NA,NA,0.17391304347826084,True,4.76710229557314,1.28565836060683e-08,1
883,TNFSF14_TNFRSF14,TNFSF14,TNFRSF14,CD8 T cell,NK cell,True,1.6880259119071002,0.0279420317848639,1,False,NA,NA,0.2777053455019557
68,COL18A1_a1b1 complex,COL18A1,"['ITGA1', 'ITGB1']",Mesangial_cells,Endothelium,True,2.6145127218695,0.0454013803960654,1,False,NA,NA,"[0.3633540372670808, 0.6749482401656315]"
386,ICAM2_aLb2 complex,ICAM2,"['ITGB2', 'ITGAL']",Mesangial_cells,Private,False,NA,NA,0.2033898305084746,True,"[10.1285183950506, 4.76710229557314]","[7.82221790238649e-13, 1.28565836060683e-08]","[1, 1]"
247,THY1_aXb2 complex,THY1,"['ITGB2', 'ITGAX']",Podocytes,MNP,False,NA,NA,0.16988416988416988,True,"[10.1285183950506, 5.41908546718856]","[7.82221790238649e-13, 9.085959486961573e-06]","[1, 1]"
869,TNFSF14_LTBR,TNFSF14,LTBR,Private,DC,True,1.6880259119071002,0.0279420317848639,1,False,NA,NA,0.13043478260869565
343,ICAM2_aLb2 complex,ICAM2,"['ITGB2', 'ITGAL']",B cell,NK cell,False,NA,NA,0.21621621621621626,True,"[10.1285183950506, 4.76710229557314]","[7.82221790238649e-13, 1.28565836060683e-08]","[1, 1]"
638,HLA-G_LILRB2,HLA-G,LILRB2,B cell,B cell,False,NA,NA,0.28378378378378377,True,9.652284919570539,2.2163431871823598e-10,1
595,HLA-F_LILRB2,HLA-F,LILRB2,Podocytes,DC,False,NA,NA,0.12355212355212356,True,9.652284919570539,2.2163431871823598e-10,1
779,CCL3_CCR1,CCL3,CCR1,NK cell,MNP,False,NA,NA,0.6453715775749674,True,2.89478592916485,3.55986110154396e-05,1
1055,CD55_ADGRE5,CD55,ADGRE5,Distal_tubules_and_collecting_duct,Mesangial_cells,False,NA,NA,0.48198198198198205,True,4.21690878715005,0.00312233850766636,1
282,TNFRSF13B_TNFSF13B,TNFRSF13B,TNFSF13B,B cell,MNP,True,1.99090097679032,0.01353493404321,1,False,NA,NA,0.6813186813186813
151,PLAUR_a4b1 complex,PLAUR,"['ITGB1', 'ITGA4']",MNP,NK cell,True,1.83700465330314,0.0297683934149902,1,False,NA,NA,"[0.4928292046936114, 0.3715775749674055]"
989,CXCL12_CXCR4,CXCL12,CXCR4,Loop_of_Henle,Loop_of_Henle,True,7.7426278931753885,1.18324783246116e-07,1,False,NA,NA,0.17222963951935916
892,TNFSF14_TNFRSF14,TNFSF14,TNFRSF14,NK cell,Distal_tubules_and_collecting_duct,True,1.6880259119071002,0.0279420317848639,1,False,NA,NA,0.33783783783783783
799,CCL3L3_CCR1,CCL3L3,CCR1,DC,MNP,False,NA,NA,0.13043478260869565,True,2.89478592916485,3.55986110154396e-05,1
1425,LTBR_LTB,LTBR,LTB,DC,Mast cell,False,NA,NA,0.13043478260869565,True,1.43943567105272,0.0402619482825343,1
1044,CD55_ADGRE5,CD55,ADGRE5,DC,Mast cell,False,NA,NA,0.6521739130434783,True,4.21690878715005,0.00312233850766636,1
